,fee,last_month,estimate_value,admin,name,trade_first_status,set_up,cumulative_value,grade,manager,scale,last_3_month,last_half_year,type,fund_id,trade_sencond_status,last_3_yesr,setup_date,unit_value,last_year
1059,,-2.14%,1.5521,诺安基金,诺安中证500ETF,场内交易  ,51.99%,1.5199,jjpj,梅律吾,1.31,-5.31%,-9.72%,ETF-场内,510520,场内交易  ,-13.56%,2014-02-07,1.5199,-10.35%
1060,,-3.11%,1.7466,大成基金,中证500沪市ETF,场内交易  ,71.60%,1.7160,jjpj,苏秉毅,0.41,-6.38%,-10.49%,ETF-场内,510440,场内交易  ,-19.66%,2012-08-24,1.7160,-10.72%
1061,,-5.79%,3.9099,平安大华基金,平安大华沪深300ETF,场内交易  ,-7.20%,0.9281,jjpj,成钧,58.68,-7.20%,--,ETF-场内,510390,场内交易  ,--,2017-12-25,3.8782,--
1062,,-8.10%,1.4616,银华基金,银华上证50等权ETF,场内交易  ,45.20%,1.4520,jjpj,周大鹏,0.89,-5.59%,-5.22%,ETF-场内,510430,场内交易  ,-10.48%,2012-08-23,1.4520,4.31%
1063,,-7.58%,0.7744,博时基金,博时上证自然资源ETF,场内交易  ,-23.66%,0.7634,jjpj,万琼,1.03,-3.56%,-9.13%,ETF-场内,510410,场内交易  ,-13.38%,2012-04-10,0.7634,8.96%
1064,,-4.86%,1.4451,景顺长城基金,景顺长城上证180ETF,场内交易  ,42.80%,1.4280,jjpj,徐喻军,0.80,-6.24%,-9.68%,ETF-场内,510420,场内交易  ,-17.17%,2012-06-12,1.4280,-5.68%
1065,,-5.54%,0.9755,国寿安保基金,国寿安保沪深300ETF,场内交易  ,-3.26%,0.9676,jjpj,李康,2.95,--,--,ETF-场内,510380,场内交易  ,--,2018-01-19,0.9676,--
1066,,--,1.0022,平安大华基金,平安大华中证500ETF,封闭期  ,0.00%,1.0000,jjpj,成钧,26.49,--,--,ETF-场内,510590,封闭期  ,--,2018-03-23,1.0000,--
1067,,-5.77%,1.6605,易方达基金,易方达沪深300ETF,场内交易  ,64.70%,1.6470,jjpj,余海燕,40.72,-4.27%,1.26%,ETF-场内,510310,场内交易  ,3.44%,2013-03-06,1.6470,12.96%
1068,,-5.84%,3.9123,华泰柏瑞基金,华泰柏瑞沪深300ETF,场内交易  ,56.17%,1.5389,jjpj,柳军,203.21,-4.38%,1.01%,ETF-场内,510300,场内交易  ,3.02%,2012-05-04,3.8806,12.46%
1069,,-5.86%,4.2283,华夏基金,华夏沪深300ETF,场内交易  ,77.44%,1.7495,jjpj,张弘弢,186.98,-4.43%,1.05%,ETF-场内,510330,场内交易  ,5.63%,2012-12-25,4.1940,12.70%
1070,,-2.05%,1.6776,广发基金,广发中证500ETF,场内交易  ,64.28%,1.6428,jjpj,刘杰,14.35,-5.07%,-9.21%,ETF-场内,510510,场内交易  ,-17.19%,2013-04-11,1.6428,-8.94%
1071,,0.17%,1.1799,诺安基金,诺安上证新兴ETF,场内交易  ,15.80%,1.1580,jjpj,梅律吾,0.68,-3.42%,-3.42%,ETF-场内,510260,场内交易  ,-16.09%,2011-04-07,1.1580,0.00%
1072,,-2.00%,1.5561,南方基金,南方上证380ETF,场内交易  ,52.78%,1.5273,jjpj,周豪,2.29,-4.49%,-6.05%,ETF-场内,510290,场内交易  ,-11.19%,2011-09-16,1.5273,-6.46%
1073,,-5.72%,1.2283,广发基金,广发沪深300ETF,场内交易  ,21.83%,1.2183,jjpj,刘杰,15.14,-4.25%,1.20%,ETF-场内,510360,场内交易  ,--,2015-08-20,1.2183,12.96%
1074,,-8.15%,6.0337,国泰基金,国泰上证180金融ETF,场内交易  ,71.12%,1.7112,jjpj,艾小军,39.08,-6.25%,-2.40%,ETF-场内,510230,场内交易  ,2.94%,2011-03-31,6.0250,14.88%
1075,,-2.95%,4.1341,华泰柏瑞基金,华泰柏瑞中小盘ETF,场内交易  ,12.56%,1.1249,jjpj,柳军,0.71,-4.34%,-4.88%,ETF-场内,510220,场内交易  ,-13.19%,2011-01-26,4.0768,0.07%
1076,,-8.60%,1.1006,中银基金,中银上证国企100ETF,场内交易  ,27.77%,1.2780,jjpj,赵建忠,0.21,-5.93%,-4.28%,ETF-场内,510270,场内交易  ,-7.36%,2011-06-16,1.0950,5.80%
1077,,-6.45%,3.3282,华安基金,华安上证180ETF,场内交易  ,259.59%,3.4512,jjpj,许之彦,200.70,-5.08%,-0.39%,ETF-场内,510180,场内交易  ,-0.13%,2006-04-13,3.3096,11.59%
1078,,-9.39%,0.5755,南方基金,南方中证小康产业ETF,场内交易  ,41.84%,1.4184,jjpj,周豪,8.38,-7.93%,-6.25%,ETF-场内,510160,场内交易  ,-1.11%,2010-08-27,0.5701,0.11%
1079,,-4.78%,3.6592,富国基金,富国上证综指ETF,场内交易  ,23.99%,1.2400,jjpj,王保合,1.07,-4.71%,-5.80%,ETF-场内,510210,场内交易  ,-9.70%,2011-01-30,3.6230,-0.74%
1080,,-5.52%,3.6086,华安基金,华安上证龙头ETF,场内交易  ,36.50%,1.3650,jjpj,苏卿云,1.15,-5.14%,-2.36%,ETF-场内,510190,场内交易  ,-2.30%,2010-11-18,3.5620,4.98%
1081,,-5.71%,1.7402,华宝基金,华宝上证180成长ETF,场内交易  ,73.30%,1.7330,jjpj,胡洁,0.85,-3.67%,7.71%,ETF-场内,510280,场内交易  ,16.86%,2011-08-04,1.7330,23.17%
1082,,-3.63%,3.9073,易方达基金,易方达上证中盘ETF,场内交易  ,32.68%,1.3308,jjpj,张胜记,2.59,-4.06%,-3.27%,ETF-场内,510130,场内交易  ,-8.27%,2010-03-29,3.8691,3.44%
1083,,-2.49%,3.0120,海富通基金,海富通上证非周期ETF,场内交易  ,25.45%,1.2550,jjpj,刘璎,0.29,-3.03%,1.50%,ETF-场内,510120,场内交易  ,-8.73%,2011-04-22,2.9780,5.23%
1084,,-7.23%,1.9630,国联安基金,国联安上证商品ETF,场内交易  ,-39.89%,0.6010,jjpj,黄欣,1.44,-3.73%,-9.86%,ETF-场内,510170,场内交易  ,-10.49%,2010-11-26,1.9380,7.43%
1085,,-8.56%,3.5311,海富通基金,海富通上证周期ETF,场内交易  ,41.38%,1.4140,jjpj,刘璎,0.35,-6.33%,-1.15%,ETF-场内,510110,场内交易  ,-1.65%,2010-09-19,3.5230,14.83%
1086,,-5.77%,1.6203,建信基金,建信上证责任ETF,场内交易  ,92.75%,1.9275,jjpj,薛玲,1.17,-5.49%,3.68%,ETF-场内,510090,场内交易  ,13.41%,2010-05-28,1.6157,18.77%
1087,,-1.33%,5.0949,招商基金,招商上证消费80ETF,场内交易  ,66.70%,1.6670,jjpj,苏燕青,1.34,-0.12%,9.91%,ETF-场内,510150,场内交易  ,23.79%,2010-12-08,5.0580,21.35%
1088,,-8.97%,1.7878,工银瑞信基金,工银上证央企50ETF,场内交易  ,13.97%,1.1397,jjpj,赵栩,2.23,-6.52%,-3.09%,ETF-场内,510060,场内交易  ,-6.90%,2009-08-26,1.7818,8.12%
1089,,-1.13%,1.8586,鹏华基金,鹏华上证民企50ETF,场内交易  ,57.54%,1.5750,jjpj,崔俊杰,0.88,-2.70%,2.97%,ETF-场内,510070,场内交易  ,-2.70%,2010-08-05,1.8380,10.92%
1090,0.15%,-6.43%,1.0357,长盛基金,长盛动态精选混合,开放申购  ,422.44%,3.3515,jjpj2,乔培涛,12.31,-8.36%,-6.32%,混合型,510081,开放赎回,-7.54%,2004-05-21,1.0297,-4.94%
1091,0.10%,-1.63%,1.1116,长盛基金,长盛全债指数强债,开放申购  ,220.49%,2.3967,jjpj1,马文祥,2.65,-1.39%,-1.16%,债券指数,510080,开放赎回,2.29%,2003-10-25,1.1117,0.76%
1092,,0.19%,--,嘉实基金,嘉实元和,场内交易  ,23.81%,1.20%,jjpj,郭东谋,113.59,0.57%,23.81%,混合型,505888,场内交易  ,21.99%,2014-09-29,1.1368,5.93%
1093,,-7.95%,2.7425,华夏基金,华夏上证50ETF,场内交易  ,306.30%,3.7080,jjpj,张弘弢,380.85,-5.50%,1.90%,ETF-场内,510050,场内交易  ,7.57%,2004-12-30,2.7340,17.81%
1094,,-8.51%,4.9471,华宝基金,华宝上证180价值ETF,场内交易  ,69.31%,1.6930,jjpj,丰晨成,2.27,-4.02%,2.68%,ETF-场内,510030,场内交易  ,21.73%,2010-04-23,4.9460,18.92%
1095,,-6.45%,1.1352,交银施罗德基金,交银上证180治理ETF,场内交易  ,26.01%,1.2600,jjpj,蔡铮,4.79,-5.98%,0.18%,ETF-场内,510010,场内交易  ,-0.88%,2009-09-25,1.1320,12.41%
1096,,-8.08%,2.6850,博时基金,博时上证超大盘ETF,场内交易  ,-1.77%,0.9823,jjpj,万琼,2.46,-6.10%,-0.52%,ETF-场内,510020,场内交易  ,7.10%,2009-12-29,2.6632,8.97%
1097,0.05%,9.61%,1.0794,广发基金,广发医疗指数分级,开放申购  ,-27.52%,0.7259,jjpj,罗国庆,1.23,10.09%,10.96%,股票指数,502056,开放赎回,--,2015-07-23,1.0528,0.94%
1098,,0.42%,1.0154,广发基金,广发医疗指数分级A,场内交易  ,15.77%,1.1494,jjpj,罗国庆,1.23,1.35%,2.70%,固定收益,502057,场内交易  ,--,2015-07-23,1.0152,5.53%
1099,,19.82%,1.1435,广发基金,广发医疗指数分级B,场内交易  ,-68.84%,0.3116,jjpj,罗国庆,1.23,19.71%,19.92%,分级杠杆,502058,场内交易  ,--,2015-07-23,1.0904,-3.60%
1100,,-16.12%,0.5838,长盛基金,长盛中证证券公司分级B,场内交易  ,-43.80%,-44.19%,jjpj,冯雨生,1.61,-23.64%,-43.80%,分级杠杆,502055,场内交易  ,--,2015-08-13,0.5620,-40.97%
1101,,-16.01%,0.7969,易方达基金,易方达上证50指数分级B,场内交易  ,-62.75%,-4.17%,jjpj,余海燕,3.84,-14.20%,-62.75%,分级杠杆,502050,场内交易  ,--,2015-04-15,0.7913,20.30%
1102,,0.40%,1.0161,长盛基金,长盛上证50指数分级A,场内交易  ,14.32%,2.48%,jjpj,王超,0.86,1.20%,14.32%,固定收益,502041,场内交易  ,--,2015-08-13,1.0160,5.00%
1103,,0.34%,1.0086,易方达基金,易方达上证50指数分级A,场内交易  ,15.06%,2.22%,jjpj,余海燕,3.84,1.10%,15.06%,固定收益,502049,场内交易  ,--,2015-04-15,1.0085,4.55%
1104,0.12%,-7.57%,0.9027,易方达基金,易方达上证50指数分级,开放申购  ,-11.10%,2.20%,jjpj,余海燕,3.84,-5.06%,-11.10%,股票指数,502048,开放赎回,--,2015-04-15,0.8999,18.08%
1105,,-12.58%,1.2440,长盛基金,长盛上证50指数分级B,场内交易  ,23.70%,4.48%,jjpj,王超,0.86,-9.18%,23.70%,分级杠杆,502042,场内交易  ,--,2015-08-13,1.2370,38.52%
1106,,1.76%,0.8592,大成基金,大成中证互联网金融指数分级B,场内交易  ,-76.63%,-20.63%,jjpj,夏高,0.02,-6.48%,-76.63%,分级杠杆,502038,场内交易  ,--,2015-06-29,0.8020,-25.30%
1107,0.12%,1.00%,0.9372,大成基金,大成中证互联网金融指数分级,开放申购  ,-36.99%,0.6374,jjpj,夏高,0.60,-2.26%,-8.96%,股票指数,502036,开放赎回,--,2015-06-29,0.9086,-10.49%
1108,0.12%,-7.25%,1.1295,长盛基金,长盛上证50指数分级,开放申购  ,19.20%,3.42%,jjpj,王超,0.86,-4.82%,19.20%,股票指数,502040,开放赎回,--,2015-08-13,1.1260,20.42%
1109,,0.42%,1.0154,大成基金,大成中证互联网金融指数分级A,场内交易  ,16.21%,2.70%,jjpj,夏高,0.03,1.35%,16.21%,固定收益,502037,场内交易  ,--,2015-06-29,1.0152,5.53%
1110,,-8.27%,0.6522,中海基金,中海中证高铁产业指数分级B,场内交易  ,-82.17%,-0.0860,jjpj,彭海平,0.32,-27.52%,-34.98%,分级杠杆,502032,场内交易  ,--,2015-07-31,0.6320,-47.77%
1111,,0.29%,1.0322,中海基金,中海中证高铁产业指数分级A,场内交易  ,14.46%,1.1380,jjpj,彭海平,0.32,1.18%,2.38%,固定收益,502031,场内交易  ,--,2015-07-31,1.0320,5.00%
1112,0.06%,-3.14%,0.8421,中海基金,中海中证高铁产业指数分级,开放申购  ,-43.33%,0.5260,jjpj,彭海平,0.32,-12.05%,-15.96%,股票指数,502030,开放赎回,--,2015-07-31,0.8320,-23.92%
1113,,-6.25%,0.4419,鹏华基金,鹏华新丝路分级B,场内交易  ,-58.00%,0.4200,jjpj,张羽翔,0.08,-26.06%,-39.91%,分级杠杆,502028,场内交易  ,--,2015-08-13,0.4200,-47.83%
1114,0.12%,-15.89%,0.9353,鹏华基金,鹏华钢铁分级,开放申购  ,-2.74%,0.9750,jjpj,陈龙,3.16,-7.49%,-11.89%,股票指数,502023,开放赎回,--,2015-08-13,0.9260,-2.48%
1115,,-13.01%,0.8949,国金基金,国金上证50分级B,场内交易  ,-75.43%,0.38%,jjpj,宫雪,0.84,-8.10%,-75.43%,分级杠杆,502022,场内交易  ,--,2015-05-27,0.8960,30.18%
1116,,-7.58%,0.9162,长信基金,长信中证一带一路指数分级B,场内交易  ,-11.00%,0.8900,jjpj,邓虎,0.01,-17.67%,-21.45%,分级杠杆,502018,场内交易  ,--,2015-08-17,0.8900,-29.59%
1117,,0.40%,1.0141,国金基金,国金上证50分级A,场内交易  ,14.60%,2.49%,jjpj,宫雪,0.84,1.20%,14.60%,固定收益,502021,场内交易  ,--,2015-05-27,1.0140,5.02%
1118,,0.39%,1.0261,鹏华基金,鹏华新丝路分级A,场内交易  ,12.90%,1.1230,jjpj,张羽翔,0.08,1.18%,2.29%,固定收益,502027,场内交易  ,--,2015-08-13,1.0260,4.60%
1119,,-30.00%,0.8446,鹏华基金,鹏华钢铁分级B,场内交易  ,-17.40%,0.8260,jjpj,陈龙,3.16,-16.40%,-24.84%,分级杠杆,502025,场内交易  ,--,2015-08-13,0.8260,-9.33%
1120,0.12%,-1.63%,0.7339,鹏华基金,鹏华新丝路分级,开放申购  ,-23.54%,0.7720,jjpj,张羽翔,0.08,-8.60%,-15.04%,股票指数,502026,开放赎回,--,2015-08-13,0.7230,-18.87%
1121,,0.30%,1.0121,长信基金,长信中证一带一路指数分级A,场内交易  ,12.28%,1.1180,jjpj,邓虎,0.01,1.10%,2.18%,固定收益,502017,场内交易  ,--,2015-08-17,1.0120,4.50%
1122,,0.39%,1.0261,鹏华基金,鹏华钢铁分级A,场内交易  ,12.90%,1.1230,jjpj,陈龙,3.16,1.18%,2.29%,固定收益,502024,场内交易  ,--,2015-08-13,1.0260,4.60%
1123,0.10%,-8.20%,0.9540,国金基金,国金上证50分级,开放申购  ,-14.32%,2.16%,jjpj,宫雪,0.84,-5.56%,-14.32%,股票指数,502020,开放赎回,--,2015-05-27,0.9510,21.27%
1124,,-16.91%,0.5912,长盛基金,长盛中证申万一带一路分级B,场内交易  ,-89.76%,-20.72%,jjpj,冯雨生,12.51,-23.59%,-89.76%,分级杠杆,502015,场内交易  ,--,2015-05-29,0.5700,-20.17%
1125,0.12%,-3.55%,0.9641,长信基金,长信中证一带一路主题指数分级,开放申购  ,0.04%,1.0050,jjpj,邓虎,0.17,-8.65%,-10.36%,股票指数,502016,开放赎回,--,2015-08-17,0.9510,-14.61%
1126,,0.40%,1.0161,长盛基金,长盛中证申万一带一路分级A,场内交易  ,16.04%,2.48%,jjpj,冯雨生,12.51,1.20%,16.04%,固定收益,502014,场内交易  ,--,2015-05-29,1.0160,5.00%
1127,0.12%,-6.60%,0.8036,长盛基金,长盛中证申万一带一路分级,开放申购  ,-48.90%,-7.31%,jjpj,冯雨生,12.51,-9.37%,-48.90%,股票指数,502013,开放赎回,--,2015-05-29,0.7930,-5.71%
1128,,0.34%,1.0324,易方达基金,易方达证券公司分级A,场内交易  ,13.34%,2.21%,jjpj,余海燕,3.41,1.09%,13.34%,固定收益,502011,场内交易  ,--,2015-07-08,1.0323,4.52%
1129,,-12.81%,1.0142,易方达基金,易方达国企改革指数分级B,场内交易  ,-85.10%,-8.12%,jjpj,余海燕,3.93,-13.23%,-85.10%,分级杠杆,502008,场内交易  ,--,2015-06-15,1.0017,-0.02%
1130,0.10%,-5.99%,0.9779,易方达基金,易方达证券公司分级,开放申购  ,-38.20%,-20.20%,jjpj,余海燕,3.41,-9.22%,-38.20%,股票指数,502010,开放赎回,--,2015-07-08,0.9646,-14.99%
1131,,-12.36%,0.9236,易方达基金,易方达证券公司分级B,场内交易  ,-80.59%,-36.27%,jjpj,余海燕,3.41,-18.76%,-80.59%,分级杠杆,502012,场内交易  ,--,2015-07-08,0.8969,-30.10%
1132,,17.46%,0.7051,易方达基金,易方达军工分级B,场内交易  ,-85.76%,-28.98%,jjpj,余海燕,4.16,-11.91%,-85.76%,分级杠杆,502005,场内交易  ,--,2015-07-08,0.6559,-46.62%
1133,,0.34%,1.0324,易方达基金,易方达军工分级A,场内交易  ,13.34%,2.21%,jjpj,余海燕,4.16,1.09%,13.34%,固定收益,502004,场内交易  ,--,2015-07-08,1.0323,4.52%
1134,,0.33%,1.0352,易方达基金,易方达国企改革指数分级A,场内交易  ,13.89%,2.20%,jjpj,余海燕,3.93,1.08%,13.89%,固定收益,502007,场内交易  ,--,2015-06-15,1.0351,4.52%
1135,0.10%,-6.59%,1.0247,易方达基金,易方达国企改革指数分级,开放申购  ,-38.07%,-3.15%,jjpj,余海燕,3.93,-6.50%,-38.07%,股票指数,502006,开放赎回,--,2015-06-15,1.0184,2.27%
1136,,-4.69%,0.9232,西部利得基金,西部利得中证500等权重分级B,场内交易  ,-85.66%,0.1432,jjpj,盛丰衍,0.01,-9.24%,-17.24%,分级杠杆,502002,场内交易  ,--,2015-04-15,0.8840,-16.84%
1137,0.10%,-2.06%,0.9673,西部利得基金,西部利得中证500等权重分级,开放申购  ,-40.46%,0.5970,jjpj,盛丰衍,2.14,-3.99%,-7.71%,股票指数,502000,开放赎回,--,2015-04-15,0.9477,-6.34%
1138,0.10%,6.36%,0.8687,易方达基金,易方达军工分级,开放申购  ,-45.71%,-12.69%,jjpj,余海燕,4.16,-4.39%,-45.71%,股票指数,502003,开放赎回,--,2015-07-08,0.8441,-23.57%
1139,0.10%,-2.06%,--,汇添富基金,汇添富中证港股通(LOF)A,开放申购  ,-2.47%,0.9753,jjpj,赖中立,2.23,-2.66%,--,股票指数,501305,开放赎回,--,2017-11-24,0.9753,--
1140,,0.38%,1.0115,西部利得基金,西部利得中证500等权重分级A,场内交易  ,16.23%,1.1544,jjpj,盛丰衍,0.01,1.21%,2.45%,固定收益,502001,场内交易  ,--,2015-04-15,1.0114,5.04%
1141,0.00%,-2.09%,--,汇添富基金,汇添富中证港股通(LOF)C,开放申购  ,-2.58%,0.9742,jjpj,赖中立,1.47,-2.75%,--,股票指数,501306,开放赎回,--,2017-11-24,0.9742,--
1142,0.10%,-3.60%,--,华宝基金,华宝香港大盘,开放申购  ,18.46%,1.1847,jjpj,周晶,1.41,1.80%,9.74%,股票指数,501301,开放赎回,--,2017-04-20,1.1847,--
1143,0.12%,-5.32%,--,广发基金,广发恒生中型股指数A,开放申购  ,-5.80%,0.9420,jjpj,李耀柱,1.24,-5.07%,-5.77%,股票指数,501303,开放赎回,--,2017-09-21,0.9420,--
1144,0.12%,-3.47%,--,南方基金,南方恒指ETF联接A,开放申购  ,6.75%,1.0675,jjpj,罗文杰,0.50,-0.02%,5.06%,QDII-指数,501302,开放赎回,--,2017-07-21,1.0675,--
1145,,0.44%,1.0183,广发基金,广发中证10年期国开债A,开放申购  ,1.84%,1.0184,jjpj,王予柯,0.13,1.35%,--,债券指数,501106,开放赎回,--,2017-11-15,1.0184,--
1146,0.04%,0.80%,1.0269,建信基金,建信金融债1-3年(LOF),开放申购  ,2.69%,1.0270,jjpj,刘思,0.20,1.57%,2.16%,债券指数,501101,开放赎回,--,2017-08-09,1.0270,--
1147,0.04%,0.68%,1.0190,建信基金,建信金融债3-5年(LOF),暂停申购  ,1.90%,1.0191,jjpj,刘思,0.20,1.22%,1.45%,债券指数,501102,开放赎回,--,2017-08-09,1.0191,--
1148,,-0.64%,--,海富通基金,海富通全球收益债券人民币,场内交易  ,-7.32%,0.9286,jjpj,陈轶平,1.78,-4.58%,-4.91%,QDII,501300,场内交易  ,--,2016-11-28,0.9286,-7.83%
1149,0.04%,1.66%,1.0360,建信基金,建信金融债8-10年(LOF),开放申购  ,3.60%,1.0361,jjpj,刘思,0.21,2.89%,3.17%,债券指数,501105,开放赎回,--,2017-08-09,1.0361,--
1150,0.04%,0.69%,1.0226,建信基金,建信金融债5-8年(LOF),暂停申购  ,2.26%,1.0227,jjpj,刘思,0.50,1.19%,1.84%,债券指数,501103,开放赎回,--,2017-08-16,1.0227,--
1151,,-5.86%,0.8774,汇添富基金,汇添富中证全指证券公司指数C,开放申购  ,-13.46%,0.8654,jjpj,楚天舒,1.63,-12.73%,--,股票指数,501048,开放赎回,--,2017-12-04,0.8654,--
1152,0.06%,0.76%,1.0156,博时基金,博时安康定开债(LOF),暂停申购  ,1.57%,1.0157,jjpj,陈凯杨,6.75,1.81%,0.68%,定开债券,501100,暂停赎回,--,2017-02-17,1.0157,1.34%
1153,,-5.27%,1.0094,汇添富基金,汇添富沪深300指数A,开放申购  ,0.12%,1.0012,jjpj,楚天舒,0.90,-3.55%,-0.03%,股票指数,501043,开放赎回,--,2017-09-06,1.0012,--
1154,,-1.27%,--,汇添富基金,汇添富弘安混合C,封闭期  ,3.24%,1.0324,jjpj,何旻,1.44,0.96%,--,混合型,501042,封闭期  ,--,2017-09-29,1.0324,--
1155,,-5.28%,1.0090,汇添富基金,汇添富沪深300指数C,开放申购  ,0.08%,1.0008,jjpj,楚天舒,0.56,-3.59%,-0.06%,股票指数,501045,开放赎回,--,2017-09-06,1.0008,--
1156,,-1.21%,--,汇添富基金,汇添富弘安混合A,封闭期  ,3.64%,1.0364,jjpj,何旻,2.00,1.16%,--,混合型,501041,封闭期  ,--,2017-09-29,1.0364,--
1157,,-5.82%,0.8774,汇添富基金,汇添富中证全指证券公司指数A,开放申购  ,-13.46%,0.8654,jjpj,楚天舒,0.93,-12.74%,--,股票指数,501047,开放赎回,--,2017-12-04,0.8654,--
1158,0.15%,-3.14%,0.9730,财通基金,财通多策略福鑫定开混合,暂停申购  ,-3.44%,0.9657,jjpj,姚思劼,4.40,-4.89%,--,混合型,501046,暂停赎回,--,2017-10-23,0.9657,--
1159,,-2.63%,1.0326,汇添富基金,汇添富睿丰混合C,场内交易  ,3.09%,1.0309,jjpj,李怀定,3.49,0.41%,--,混合型,501040,场内交易  ,--,2017-09-29,1.0309,--
1160,,-2.59%,1.0346,汇添富基金,汇添富睿丰混合A,场内交易  ,3.29%,1.0329,jjpj,赵鹏飞,3.49,0.52%,--,混合型,501039,场内交易  ,--,2017-09-29,1.0329,--
1161,0.15%,-3.29%,0.9444,财通基金,财通福盛定增定开混合,暂停申购  ,-7.31%,0.9269,jjpj,姚思劼,5.13,-5.53%,-11.76%,混合型,501032,暂停赎回,--,2017-01-25,0.9269,-7.44%
1162,0.00%,-1.89%,0.9213,汇添富基金,汇添富中证500C,开放申购  ,-9.78%,0.9022,jjpj,吴振翔,0.77,-4.62%,-10.11%,股票指数,501037,开放赎回,--,2017-08-10,0.9022,--
1163,0.15%,0.19%,--,银华基金,银华惠安定期开放混合,暂停申购  ,-2.08%,0.9793,jjpj,王鑫钢,3.06,-0.11%,-2.20%,混合型,501033,暂停赎回,--,2017-03-17,0.9793,-2.08%
1164,0.08%,-1.89%,0.9221,汇添富基金,汇添富中证500A,开放申购  ,-9.70%,0.9030,jjpj,吴振翔,1.49,-4.57%,-10.06%,股票指数,501036,开放赎回,--,2017-08-10,0.9030,--
1165,0.15%,-7.11%,1.0795,银华基金,银华明择多策略定期开放混合,暂停申购  ,7.34%,1.0735,jjpj,倪明,12.32,-5.34%,4.37%,混合型,501038,暂停赎回,--,2017-08-11,1.0735,--
1166,0.15%,-3.79%,1.0148,创金合信基金,创金鼎鑫睿选定开混合(LOF),暂停申购  ,0.87%,1.0088,jjpj,曹春林,2.20,-1.36%,0.82%,混合型,501035,暂停赎回,--,2017-07-07,1.0088,--
1167,0.10%,-4.61%,1.0361,华宝基金,华宝标普中国A股红利机会指数A,开放申购  ,5.45%,1.0559,jjpj,胡洁,9.17,-3.04%,-2.96%,股票指数,501029,开放赎回,--,2017-01-18,1.0259,2.74%
1168,0.15%,-0.07%,1.0012,国泰基金,国泰融信定增灵活配置混合,暂停申购  ,5.22%,1.0522,jjpj,樊利安,4.32,0.32%,0.84%,混合型,501027,暂停赎回,--,2017-03-02,1.0001,5.19%
1169,0.12%,-1.49%,0.8162,汇添富基金,汇添富中证环境治理指数A,开放申购  ,-20.25%,0.7975,jjpj,赖中立,0.78,-13.89%,-20.09%,股票指数,501030,开放赎回,--,2016-12-29,0.7975,-21.73%
1170,0.12%,-2.78%,--,鹏华基金,鹏华香港中小企业指数LOF,开放申购  ,13.50%,1.1350,jjpj,陈龙,0.52,-3.25%,0.62%,股票指数,501023,开放赎回,--,2016-09-29,1.1350,2.99%
1171,0.00%,-1.50%,0.8180,汇添富基金,汇添富中证环境治理指数C,开放申购  ,-20.07%,0.7993,jjpj,赖中立,0.45,-13.92%,-20.09%,股票指数,501031,开放赎回,--,2016-12-29,0.7993,-21.53%
1172,0.12%,3.50%,--,南方基金,南方原油,开放申购  ,8.31%,1.0831,jjpj,黄亮,1.88,6.20%,19.49%,QDII,501018,开放赎回,--,2016-06-15,1.0831,17.84%
1173,1.50%,-1.91%,0.9022,国泰基金,国泰融丰外延增长混合(LOF),开放申购  ,-9.15%,0.8935,jjpj,樊利安,8.55,-4.92%,-7.50%,混合型,501017,开放赎回,--,2016-05-26,0.8935,-12.83%
1174,0.12%,5.20%,0.7909,国泰基金,国泰国证航天军工指数,开放申购  ,-23.18%,0.7682,jjpj,艾小军,1.73,-5.27%,-12.04%,股票指数,501019,开放赎回,--,2017-03-29,0.7682,--
1175,0.15%,-0.62%,0.9880,财通基金,财通多策略升级混合(LOF),开放申购  ,-3.10%,0.9690,jjpj,姚思劼,25.65,3.42%,-0.31%,混合型,501015,开放赎回,--,2016-03-09,0.9690,-10.61%
1176,0.12%,-7.14%,0.9959,国泰基金,国泰中证国有企业改革指数,暂停申购  ,-1.02%,0.9898,jjpj,徐皓,0.24,-7.86%,-6.07%,股票指数,501020,开放赎回,--,2017-03-29,0.9898,--
1177,0.10%,-1.93%,1.4510,华宝基金,华宝香港中国中小盘,开放申购  ,44.00%,1.4400,jjpj,周晶,15.91,3.13%,8.56%,QDII-指数,501021,开放赎回,--,2016-06-24,1.4400,19.32%
1178,0.12%,-6.10%,0.8845,国泰基金,国泰中证申万证券行业指数,开放申购  ,-12.72%,0.8728,jjpj,艾小军,0.53,-9.56%,-21.26%,股票指数,501016,开放赎回,--,2017-04-27,0.8728,--
1179,0.15%,-2.22%,0.9396,财通基金,财通多策略福瑞定开混合,暂停申购  ,-7.75%,0.9225,jjpj,姚思劼,30.18,-5.41%,-9.82%,混合型,501028,暂停赎回,--,2016-11-22,0.9225,-8.79%
1180,0.00%,5.44%,1.0377,汇添富基金,汇添富中证中药指数(LOF)C,开放申购  ,2.47%,1.0247,jjpj,过蓓蓓,0.18,2.15%,1.16%,股票指数,501012,开放赎回,--,2016-12-29,1.0247,-4.32%
1181,0.12%,-5.28%,1.1241,鹏华基金,鹏华香港银行指数(LOF),开放申购  ,15.94%,1.1645,jjpj,崔俊杰,0.70,1.06%,4.30%,股票指数,501025,开放赎回,--,2016-11-10,1.1145,9.00%
1182,0.15%,-2.89%,0.8466,银华基金,银华鑫盛定增混合,暂停申购  ,-16.00%,0.8400,jjpj,王鑫钢,9.95,-6.15%,-16.83%,混合型,501022,暂停赎回,--,2016-10-14,0.8400,-16.75%
